INDEX,APPID,NAME,POSITIVE,NEGATIVE,RATING
350,4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition","3,392",200,90.65%
351,6860,Hitman: Blood Money,"5,742",378,90.65%
352,266210,One Way Heroics,"3,349",197,90.65%
353,3720,Evil Genius,"1,809",89,90.64%
354,298030,Total Annihilation,"1,237",52,90.64%
355,853550,Equilinox,970,36,90.63%
356,207350,Ys Origin,"1,776",87,90.63%
357,409160,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist","7,571",524,90.63%
358,471710,Rec Room,"3,263",192,90.62%
359,214490,Alien: Isolation,"24,146","1,925",90.62%
360,282800,100% Orange Juice,"10,397",757,90.60%
361,39140,FINAL FANTASY VII,"11,593",856,90.60%
362,405820,Turok,"1,577",75,90.58%
363,563560,Alien Swarm: Reactive Drop,"7,394",515,90.57%
364,224820,Super House of Dead Ninjas,"1,295",57,90.56%
365,32360,The Secret of Monkey Island: Special Edition,"2,118",112,90.56%
366,255710,Cities: Skylines,"65,207","5,664",90.55%
367,21090,F.E.A.R.,"6,242",425,90.54%
368,283960,Pajama Sam in No Need to Hide When It's Dark Outside,559,14,90.53%
369,552080,IronWolf VR,417,7,90.53%
370,94200,Jamestown,"1,945",101,90.52%
371,8800,Sid Meier's Civilization IV: Beyond the Sword,"1,362",62,90.52%
372,4560,Company of Heroes - Legacy Edition,"4,756",311,90.50%
373,261180,Lethal League,"5,185",345,90.49%
374,393190,TSIOQUE,412,7,90.49%
375,429660,Tales of Berseria,"7,167",505,90.48%
376,264380,Narcissu 1st & 2nd,"2,834",167,90.45%
377,332200,Axiom Verge,"3,020",181,90.44%
378,352520,The Silent Age,"4,623",304,90.44%
379,518580,Accounting,"2,030",109,90.44%
380,722730,Cogmind,566,15,90.44%
381,6060,"Star Wars: Battlefront 2 (Classic, 2005)","28,836","2,405",90.43%
382,748490,The Legend of Heroes: Trails of Cold Steel II,813,29,90.43%
383,270370,Lambda Wars Beta,"2,894",172,90.43%
384,532110,Rusty Lake: Roots,"1,923",102,90.42%
385,2270,Wolfenstein 3D,"1,723",88,90.42%
386,589120,Danganronpa V3: Killing Harmony Demo Ver.,"1,338",62,90.42%
387,238210,System Shock 2,"4,171",270,90.42%
388,384190,ABZ??,"15,273","1,201",90.41%
389,4760,Rome: Total War,"7,646",551,90.41%
390,421120,Samorost 3,"1,844",97,90.40%
391,635940,Little Busters! English Edition,314,3,90.40%
392,342560,Airships: Conquer the Skies,"1,985",107,90.39%
393,256290,Child of Light,"9,898",743,90.38%
394,637850,Confess My Love,"3,264",202,90.37%
395,38410,Fallout 2,"4,660",311,90.37%
396,398710,Timberman,"5,137",350,90.36%
397,885810,The Witch's House MV,311,3,90.36%
398,35450,Rising Storm/Red Orchestra 2 Multiplayer,"26,713","2,242",90.34%
399,270880,American Truck Simulator,"24,554","2,049",90.33%
400,336140,Unavowed,533,14,90.33%
401,221260,Little Inferno,"6,369",452,90.33%
402,241930,Middle-earth???: Shadow of Mordor???,"51,324","4,536",90.32%
403,385250,Paint it Back,352,5,90.32%
404,725480,Slap City,"1,531",77,90.31%
405,884260,Akane,393,7,90.31%
406,396650,ACE Academy,"1,045",45,90.29%
407,400630,Wuppo,"1,611",83,90.29%
408,251370,Escape Goat,561,16,90.26%
409,279800,Grim Legends 2: Song of the Dark Swan,751,27,90.26%
410,206420,Saints Row IV,"53,844","4,816",90.26%
411,365450,Hacknet,"12,943","1,025",90.25%
412,738060,Freddy Fazbear's Pizzeria Simulator,"7,591",561,90.25%
413,214770,Guacamelee! Gold Edition,"4,869",335,90.25%
414,252110,Lovers in a Dangerous Spacetime,"1,834",100,90.24%
415,731490,Crash Bandicoot??? N. Sane Trilogy,"3,414",219,90.24%
416,230270,N++,"1,579",82,90.23%
417,272040,KAMI,"1,003",43,90.23%
418,388880,Oxenfree,"6,378",462,90.22%
419,548430,Deep Rock Galactic,"7,980",598,90.21%
420,744810,A Raven Monologue,"1,338",66,90.19%
421,253750,Ikaruga,"1,379",69,90.18%
422,41000,Serious Sam HD: The First Encounter,"3,895",260,90.18%
423,995460,Miracle snack shop ????????? ?????????,566,17,90.16%
424,449960,Book of Demons,"4,859",340,90.15%
425,587650,Half-Life 2: DownFall,"1,472",76,90.15%
426,217200,Worms Armageddon,"3,467",228,90.13%
427,795100,Friday the 13th: Killer Puzzle,"2,818",177,90.13%
428,270210,Melody's Escape,"4,154",284,90.12%
429,2200,Quake III Arena,"1,322",66,90.12%
430,712840,King Exit,"1,929",110,90.11%
431,233610,Distance,"3,913",265,90.11%
432,263980,Out There Somewhere,"6,155",452,90.10%
433,17450,Dragon Age: Origins,"6,127",450,90.10%
434,389140,Horizon Chase Turbo,610,20,90.10%
435,452440,Flowers -Le volume sur printemps-,468,12,90.10%
436,311190,Super Panda Adventures,674,24,90.08%
437,250600,The Plan,"19,438","1,648",90.08%
438,250500,Super Amazing Wagon Adventure,"1,690",93,90.08%
439,799070,Zup! 8,833,34,90.07%
440,564710,Soda Dungeon,"3,514",235,90.06%
441,249130,LEGO?? MARVEL Super Heroes,"8,718",678,90.06%
442,269770,Secrets of Grindea,"3,565",240,90.04%
443,448850,Overload,890,38,90.04%
444,322770,Vanishing Realms,"2,119",126,90.04%
445,508900,Zup! X,748,29,90.03%
446,95400,ibb & obb,"3,084",202,90.02%
447,3320,Insaniquarium! Deluxe,"1,139",55,90.02%
448,758090,Monobeno,302,4,90.01%
449,742120,DRAGON QUEST?? XI: Echoes of an Elusive Age???,"3,238",215,90.01%
450,233980,Unepic,"5,842",433,90.00%
451,931500,Touhou Genso Wanderer -Reloaded- / ????????????????????????TOD -RELOADED- / ?????????????????????TOD -RELOADED-,596,20,89.99%
452,464360,3030 Deathwar Redux - A Space Odyssey,660,24,89.98%
453,2100,Dark Messiah of Might & Magic Single Player,"4,270",301,89.98%
454,22000,World of Goo,"3,427",232,89.97%
455,397740,Hylics,490,14,89.97%
456,305620,The Long Dark,"45,018","4,146",89.96%
457,268130,Heat Signature,"3,168",211,89.96%
458,204880,Sins of a Solar Empire: Rebellion,"8,481",669,89.95%
459,47810,Dragon Age: Origins - Ultimate Edition,"8,716",690,89.95%
460,235460,METAL GEAR RISING: REVENGEANCE,"13,517","1,128",89.94%
461,439490,BLUE REVOLVER,229,1,89.93%
462,530320,Wandersong,316,5,89.93%
463,33930,Arma 2: Operation Arrowhead,"17,598","1,513",89.92%
464,221910,The Stanley Parable,"31,270","2,822",89.92%
465,2280,The Ultimate DOOM,"3,583",248,89.90%
466,716490,EXAPUNKS,500,15,89.90%
467,666140,My Time At Portia,"9,380",755,89.90%
468,597170,Clone Drone in the Danger Zone,"1,772",103,89.90%
469,284390,The Last Door - Collector's Edition,"1,270",66,89.90%
470,570840,Nekojishi,"2,410",153,89.89%
471,342580,12 Labours of Hercules,"2,370",150,89.88%
472,252610,Death Road to Canada,"3,213",218,89.88%
473,242820,140,"3,358",230,89.88%
474,274170,Hotline Miami 2: Wrong Number,"21,468","1,895",89.86%
475,219990,Grim Dawn,"25,418","2,278",89.85%
476,42910,Magicka,"20,763","1,830",89.85%
477,537110,Angels of Death,"1,834",109,89.85%
478,857450,ISLAND,329,6,89.84%
479,843380,Super Animal Royale,560,19,89.84%
480,407310,NEKO-NIN exHeart,625,23,89.84%
481,40950,Stronghold HD,"2,804",186,89.84%
482,758530,Sprout,781,33,89.84%
483,356670,Spooky's Jump Scare Mansion,"8,882",718,89.83%
484,591460,Parkasaurus,508,16,89.82%
485,738520,Breathedge,"2,776",185,89.81%
486,32460,Monkey Island 2: Special Edition,"1,165",60,89.80%
487,402620,Kindred Spirits on the Roof,554,19,89.79%
488,224480,Octodad: Dadliest Catch,"6,230",483,89.79%
489,868980,DEEP SPACE WAIFU: NEKOMIMI,324,6,89.78%
490,850000,Noel The Mortal Fate S1-7,537,18,89.78%
491,582500,We Were Here,"8,271",669,89.77%
492,12110,Grand Theft Auto: Vice City,"9,526",785,89.76%
493,278360,A Story About My Uncle,"16,052","1,404",89.74%
494,414340,Hellblade: Senua's Sacrifice,"19,551","1,742",89.74%
495,421660,Harmonia,340,7,89.74%
496,211420,DARK SOULS???: Prepare To Die Edition,"63,990","6,198",89.74%
497,7760,X-COM: UFO Defense,"2,142",136,89.73%
