APPID,NAME,CURRENT,24H_PEAK,ALL_TIME_PEAK
290320,Project Temporality,1,1,54
327440,Hail to the King: Deathbat,1,1,54
383670,That Old Time Religion,1,1,54
396120,Mad Max: Fury Road (Theatrical),1,2,54
421880,Plastiland,1,4,54
426290,The Away Team,1,2,54
431810,Rencounter,1,4,54
453690,Dark Quest 2,1,7,54
634070,Murnatan,1,2,54
15400,Harvest: Massive Encounter,1,4,53
37010,Ninja Blade,1,3,53
272330,Shadow Blade: Reload,1,4,53
402590,Double Fine Adventure,1,2,53
458630,Political Animals,1,2,53
491280,Drift Horizon Online,1,2,53
315320,Skilltree Saga,1,1,52
569570,Light Apprentice,1,1,52
604740,Danger Zone,1,2,52
620070,VROOM KABOOM,1,4,52
885120,Werewolves: Haven Rising,1,2,52
962470,PaPaPub,1,18,52
3562,Bejeweled Twist Demo,1,2,51
294260,Trials Fusion Demo,1,6,51
347060,Pro Basketball Manager 2016,1,2,51
370550,Sparkle 2,1,5,51
548840,A Rose in the Twilight,1,5,51
628920,Tomboys Need Love Too!,1,4,51
962940,??-A story of a song-,1,13,51
18470,Helldorado,1,4,50
290040,Retro Game Crunch,1,5,50
356910,Battle Fantasia -Revised Edition-,1,4,50
446000,Stellar Monarch,1,4,50
545130,Pro Basketball Manager 2017,1,3,50
555630,A Magical High School Girl,1,3,50
658550,Zup! Zero 2,1,6,50
831570,Isoland,1,4,50
992860,Intrepid,1,4,50
263920,Zombie Grinder,1,2,49
339570,Enemy,1,2,49
375500,The Deep Paths: Labyrinth Of Andokost,1,3,49
379530,Fate Tectonics,1,3,49
402450,Linkrealms,1,1,49
479020,Pirates of the Polygon Sea,1,3,49
563250,Lemuria: Lost in Space,1,2,49
628680,Hellpoint Demo,1,3,49
723270,Rumu,1,3,49
840410,Mushroom Heroes,1,4,49
981410,Oppai Girl,1,4,49
296630,Kraven Manor,1,2,48
325120,Notch - The Innocent LunA: Eclipsed SinnerS,1,3,48
333390,Tales of Aravorn: Seasons Of The Wolf,1,2,48
353890,Casey Powell Lacrosse 16,1,3,48
360010,Remnants of Isolation,1,3,48
367690,Spintires Editor,1,5,48
415170,Engare,1,3,48
543240,Root Letter,1,2,48
565120,The Station,1,3,48
590970,Hollow,1,3,48
599560,Ghost Files: The Face of Guilt,1,2,48
625990,Welcome to Moreytown,1,2,48
672590,Azure Saga: Pathfinder,1,3,48
680700,OK K.O.! Let?s Play Heroes,1,4,48
685420,Grace of Zordan,1,2,48
778490,Contagion VR: Outbreak Demo,1,6,48
975120,~necromancy~Emily's Escape,1,11,48
40420,Tidalis,1,2,47
200230,Off-Road Drive,1,5,47
201510,Flatout 3,1,12,47
257990,Oozi: Earth Adventure,1,6,47
568610,VERSUS: The Elite Trials,1,1,47
575940,The Tenth Line,1,2,47
607820,Infinite Adventures,1,4,47
265100,Gas Guzzlers Extreme Demo,1,1,46
347000,InnerSpace,1,4,46
363980,Forget Me Not: My Organic Garden,1,3,46
391160,The Deletion,1,1,46
455340,"Warhammer 40,000: Armageddon - Da Orks",1,6,46
541190,Nodiatis,1,3,46
581490,Ghost In The Shell: Stand Alone Complex,1,6,46
586040,8-Bit Armies: Arena,1,3,46
603020,Usurper,1,2,46
682420,DimensionsVS,1,2,46
719200,The Wall,1,5,46
9060,HeXen II,1,4,45
44200,Galcon Fusion,1,2,45
324650,Gemini: Heroes Reborn,1,2,45
354620,Miner Warfare,1,5,45
391780,Uebergame,1,1,45
402880,Age of Barbarian Extended Cut,1,3,45
467760,Trapper's Delight,1,17,45
490160,Time Tenshi 2,1,2,45
517470,King of Booze: Drinking Game,1,4,45
733740,Sakura Cupid,1,2,45
905660,???? Papercraft,1,32,45
4230,Race: The WTCC Game,1,3,44
102810,Gatling Gears,1,3,44
352190,Spirit Of War,1,1,44
420180,Chronicle of Innsmouth,1,3,44
447170,"Destiny's Princess: A War Story, A Love Story",1,4,44
462620,Pocket Kingdom,1,2,44
464140,MXGP2 - The Official Motocross Videogame Demo,1,5,44
546410,Grab the Bottle,1,2,44
563990,Orcish Inn (Demo),1,3,44
589220,UAYEB,1,4,44
591380,Bomb Squad Academy,1,4,44
621940,Unleash,1,3,44
643880,Strikey Sisters,1,3,44
680980,HEADLINER,1,8,44
757200,EMERGENCY 3,1,12,44
828660,War Of The Zombie,1,2,44
18420,Crazy Machines,1,3,43
57200,Puzzle Dimension,1,2,43
372330,Beauty Bounce,1,2,43
403700,Zero Punctuation: Hatfall - Hatters Gonna Hat Edition,1,2,43
441990,Cobalt Demo,1,2,43
460340,Guards,1,4,43
485900,Hardware Engineers,1,5,43
494680,Branching Paths,1,1,43
529060,Space Simulator,1,3,43
537421,Agent Origins: Conspiracies,1,1,43
551700,Gunheart,1,5,43
558790,Queen's Quest 2: Stories of Forgotten Past,1,3,43
568440,Not Dying Today,1,3,43
570970,ARENA an Age of Barbarians story,1,2,43
640570,Miss Kobayashi's Dragon Maid,1,3,43
875740,Scorch,1,2,43
885640,Lynne,1,5,43
11050,Dracula: Origin,1,2,42
344410,Magnetic: Cage Closed,1,2,42
351900,Pregnancy,1,1,42
352240,The Westport Independent,1,1,42
374360,Tembo The Badass Elephant Demo,1,2,42
446600,Magi Trials,1,2,42
520850,Lost in Secular Love,1,4,42
628290,All Walls Must Fall,1,2,42
658140,Sakura Sakura,1,4,42
707450,March to Glory,1,2,42
905230,IQ Test,1,3,42
929310,Kamasutra Connect : Sexy Hentai Girls,1,3,42
248490,1953 - KGB Unleashed,1,2,41
287840,TY the Tasmanian Tiger 4,1,2,41
304910,Sky Gamblers: Storm Raiders,1,6,41
316480,Shadow Puppeteer,1,2,41
360590,"Once Bitten, Twice Dead",1,2,41
558340,Faces of Illusion: The Twin Phantoms,1,7,41
581230,Soul Saber 2,1,1,41
589670,Double Kick Heroes,1,2,41
697650,The 25th Ward: The Silver Case,1,5,41
726230,The Superlatives: Aetherfall,1,2,41
836760,Sorcery Saga: Curse of the Great Curry God,1,2,41
44600,GTR - FIA GT Racing Game,1,3,40
273240,Armored Hunter GUNHOUND EX,1,1,40
335450,Curse of the Assassin,1,1,40
359920,Highlands,1,1,40
388320,1979 Revolution: Black Friday,1,3,40
443380,Tokyo Babel,1,3,40
456430,Christmas Adventure: Candy Storm,1,3,40
587460,Knightfall?: Rivals,1,2,40
629440,Graze Counter,1,4,40
674460,Oats Studios - Volume 1: God - Serengeti,1,2,40
729030,????????? Survival Method,1,10,40
770500,Goblin Gearshop,1,3,40
61600,Zen Bound? 2,1,2,39
215390,Damage Inc,1,1,39
283600,World of Subways 2 ? Berlin Line 7,1,8,39
303910,Time of Fury,1,3,39
366210,Sleep Attack,1,2,39
395560,Lost Horizon 2,1,5,39
416250,Tales [PC],1,2,39
437610,SQUIDS FROM SPACE,1,5,39
445870,Phantom Trigger,1,2,39
