NAME,VIEWERS,24H_PEAK,STEAM_PLAYERS
March of Empires,0,1,671
Prey,32,287,666
DC Universe Online,36,156,664
Motorsport Manager,0,4,662
Ultimate General: Civil War,0,9,661
Just Cause 4,11,53,650
Magic Duels,0,6,649
Age of Civilizations II,0,4,647
Celeste,339,"2,728",646
Foxhole,1,52,639
FINAL FANTASY X/X-2 HD Remaster,81,951,637
OMSI 2,12,39,636
This War of Mine,16,873,635
DCS World Steam Edition,109,442,628
Bloons TD 6,18,48,625
Naval Action,9,58,624
Galactic Civilizations III,0,1,624
Football Manager 2012,0,3,623
rFactor 2,0,20,618
My Summer Car,7,875,616
Stronghold Kingdoms,0,1,615
Pavlov VR,27,28,613
Stonehearth,0,6,608
WAKFU,17,40,605
Bloons TD Battles,16,53,605
Master of Orion,1,3,601
CrossCode,14,66,595
Counter-Strike: Condition Zero,0,1,585
Brick Rigs,0,4,581
Doki Doki Literature Club,61,143,577
Anno 1404,20,"1,283",574
Saints Row: The Third,16,38,573
Day of Defeat: Source,2,9,571
BioShock Infinite,26,201,569
Watch_Dogs 2,20,104,558
Panzer Corps,0,76,554
TerraTech,7,10,550
Football Manager 2013,2,2,548
Life is Strange 2,938,995,542
Chivalry: Medieval Warfare,14,14,541
Railway Empire,3,8,539
FINAL FANTASY VII,581,636,538
America's Army: Proving Grounds,31,139,537
Dirty Bomb,22,56,537
Dungeon Fighter Online,34,"7,761",536
Dishonored,0,80,536
ELEX,5,12,535
Dungeon of the Endless,2,13,533
Onmyoji,0,21,533
Wolfenstein II: The New Colossus,28,171,532
Castle Crashers,13,33,528
Friday the 13th: The Game,217,590,524
Call of Duty: Black Ops,0,148,520
WWE 2K19,415,"1,105",519
Governor of Poker 3,0,5,519
Blood Bowl 2,0,4,516
Wreckfest,113,243,514
Parkitect,0,371,514
The Crew 2,32,125,512
Half-Life,7,527,512
Cadria Item Shop,0,7,510
Wolfenstein: The New Order,4,20,509
Crusaders of Light,1,4,504
Game Dev Tycoon,9,10,498
Riders of Icarus,17,21,495
Kingdoms and Castles,0,"1,465",491
Gold Rush: The Game,4,"1,216",490
RaceRoom Racing Experience,1,95,488
Portal Knights,68,180,482
Avorion,0,13,481
Left 4 Dead,3,43,478
Supreme Commander 2,0,9,478
Cuisine Royale,8,60,474
Duck Game,20,105,473
The Elder Scrolls III: Morrowind,69,443,468
No More Room in Hell,18,26,468
Portal,9,67,466
Trailmakers,308,"32,509",463
Saints Row IV,5,21,463
PRO EVOLUTION SOCCER 2018,0,5,463
Besiege,2,9,462
FaceRig,0,1,462
ArcheAge,19,111,458
Call of Duty: Modern Warfare 3,0,35,457
Stranded Deep,9,24,456
Hacknet,1,7,456
UNO,61,779,453
The Jackbox Party Pack 3,316,"1,548",449
Plague Inc: Evolved,1,38,448
Killing Floor,3,13,442
"Warhammer 40,000: Dawn of War II - Retribution",0,41,442
Kingdom Two Crowns,36,89,441
Forts,9,962,441
Two Worlds II,0,3,440
Sword Art Online: Fatal Bullet,25,48,429
Craft The World,0,9,424
A Story About My Uncle,11,48,418
Legion TD 2,0,8,415
Tales of Berseria,27,212,414
Quake Live,7,"1,958",411
A Hat in Time,183,184,410
Rules Of Survival,10,98,406
Overcooked! 2,19,309,405
Gloria Victis,2,9,401
Planetary Annihilation: TITANS,17,42,400
The Escapists 2,10,10,398
Ni no Kuni??? II: Revenant Kingdom,13,82,396
Dark and Light,0,19,395
FINAL FANTASY VIII,3,88,394
